地域,可用区,系统,机型,规格,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),标准月价(元),包月(元),包年(元),3年(元),5年(元)
广州,广州六区,LINUX,标准型S6,S6.MEDIUM2,2,2,0.24,0.24,0.24,130.5,130.5,1299.78,2349,3915
广州,广州六区,LINUX,标准型S6,S6.MEDIUM4,2,4,0.31,0.31,0.31,174,174,1733.04,3132,5220
广州,广州六区,LINUX,标准型S6,S6.MEDIUM8,2,8,0.47,0.47,0.47,261,261,2599.56,4698,7830
广州,广州六区,LINUX,标准型S6,S6.LARGE8,4,8,0.63,0.63,0.63,348,348,3466.08,6264,10440
广州,广州六区,LINUX,标准型S6,S6.LARGE16,4,16,0.94,0.94,0.94,522,522,5199.12,9396,15660
广州,广州七区,LINUX,标准型S6,S6.2XLARGE16,8,16,1.26,1.26,1.26,696,696,6932.16,12528,20880
广州,广州六区,LINUX,标准型S6,S6.2XLARGE32,8,32,1.89,1.89,1.89,1044,1044,10398.24,18792,31320
广州,广州六区,LINUX,标准型S6,S6.4XLARGE32,16,32,2.51,2.51,2.51,1392,1392,13864.32,25056,41760
广州,广州六区,LINUX,标准型S6,S6.4XLARGE64,16,64,3.77,3.77,3.77,2088,2088,20796.48,37584,62640
广州,广州六区,LINUX,标准型S6,S6.8XLARGE64,32,64,5.03,5.03,5.03,2784,2784,27728.64,50112,83520
广州,广州六区,LINUX,标准型S6,S6.8XLARGE128,32,128,7.54,7.54,7.54,4176,4176,41592.96,75168,125280
广州,广州六区,LINUX,标准型S6,S6.12XLARGE96,48,96,7.54,7.54,7.54,4176,4176,41592.96,75168,125280
广州,广州六区,LINUX,标准型S6,S6.12XLARGE192,48,192,11.31,11.31,11.31,6264,6264,62389.44,112752,187920
广州,广州六区,LINUX,标准型S6,S6.31XMEDIUM216,62,216,13.35,13.35,13.35,7395,7395,73654.2,133110,221850
广州,广州六区,LINUX,标准型S6,S6.16XLARGE256,64,256,15.08,15.08,15.08,8352,8352,83185.92,150336,250560
广州,广州六区,LINUX,标准型S6,S6.31XLARGE432,124,432,26.71,26.71,26.71,14790,14790,147308.4,266220,443700
广州,广州三区,LINUX,标准型SA2,SA2.SMALL1,1,1,0.06,0.06,0.06,29,29,288.84,522,870
广州,广州三区,LINUX,标准型SA2,SA2.SMALL2,1,2,0.06,0.06,0.06,32,32,318.72,576,960
广州,广州六区,LINUX,标准型SA2,SA2.SMALL4,1,4,0.17,0.17,0.17,86.4,86.4,860.54,1555.2,2592
广州,广州三区,LINUX,标准型SA2,SA2.MEDIUM2,2,2,0.06,0.06,0.06,32,32,318.72,576,960
广州,广州三区,LINUX,标准型SA2,SA2.MEDIUM4,2,4,0.26,0.26,0.26,136,136,1354.56,2448,4080
广州,广州三区,LINUX,标准型SA2,SA2.MEDIUM8,2,8,0.37,0.37,0.37,192,192,1912.32,3456,5760
广州,广州三区,LINUX,标准型SA2,SA2.LARGE8,4,8,0.5,0.5,0.5,256,256,2549.76,4608,7680
广州,广州三区,LINUX,标准型SA2,SA2.LARGE16,4,16,0.75,0.75,0.75,384,384,3824.64,6912,11520
广州,广州三区,LINUX,标准型SA2,SA2.2XLARGE16,8,16,1,1,1,512,512,5099.52,9216,15360
广州,广州三区,LINUX,标准型SA2,SA2.2XLARGE32,8,32,1.49,1.49,1.49,768,768,7649.28,13824,23040
广州,广州三区,LINUX,标准型SA2,SA2.4XLARGE32,16,32,1.99,1.99,1.99,1024,1024,10199.04,18432,30720
广州,广州七区,LINUX,标准型SA2,SA2.4XLARGE64,16,64,2.69,2.69,2.69,1382.4,1382.4,13768.7,24883.2,41472
广州,广州三区,LINUX,标准型SA2,SA2.8XLARGE64,32,64,3.98,3.98,3.98,2048,2048,20398.08,36864,61440
广州,广州六区,LINUX,标准型SA2,SA2.8XLARGE128,32,128,5.38,5.38,5.38,2764.8,2764.8,27537.41,49766.4,82944
广州,广州三区,LINUX,标准型SA2,SA2.12XLARGE96,48,96,5.97,5.97,5.97,3072,3072,30597.12,55296,92160
广州,广州三区,LINUX,标准型SA2,SA2.16XLARGE128,64,128,7.96,7.96,7.96,4096,4096,40796.16,73728,122880
广州,广州三区,LINUX,标准型SA2,SA2.16XLARGE256,64,256,11.94,11.94,11.94,6144,6144,61194.24,110592,184320
广州,广州三区,LINUX,标准型SA2,SA2.20XLARGE160,80,160,9.95,9.95,9.95,5120,5120,50995.2,92160,153600
广州,广州三区,LINUX,标准型SA2,SA2.22XLARGE224,90,224,12.57,12.57,12.57,6464,6464,64381.44,116352,193920
广州,广州三区,LINUX,标准型SA2,SA2.32XLARGE256,128,256,15.93,15.93,15.93,8192,8192,81592.32,147456,245760
广州,广州三区,LINUX,标准型SA2,SA2.40XLARGE320,160,320,19.91,19.91,19.91,10240,10240,101990.4,184320,307200
广州,广州三区,LINUX,标准型SA2,SA2.45XLARGE464,180,464,25.63,25.63,25.63,13184,13184,131312.64,237312,395520
广州,广州四区,LINUX,标准型S5,S5.SMALL1,1,1,0.08,0.08,0.08,42,36.54,347.76,619.92,680.4
广州,广州七区,LINUX,标准型S5,S5.SMALL2,1,2,0.07,0.07,0.07,40.5,35.24,335.34,597.78,656.1
广州,广州六区,LINUX,标准型S5,S5.SMALL4,1,4,0.22,0.22,0.22,124.2,108.05,1028.38,1833.19,2012.04
广州,广州三区,LINUX,标准型S5,S5.MEDIUM2,2,2,0.08,0.08,0.08,45,39.15,372.6,664.2,729
广州,广州七区,LINUX,标准型S5,S5.MEDIUM4,2,4,0.28,0.28,0.28,153,133.11,1266.84,2258.28,2478.6
广州,广州七区,LINUX,标准型S5,S5.MEDIUM8,2,8,0.45,0.45,0.45,248.4,216.11,2056.75,3666.38,4024.08
广州,广州六区,LINUX,标准型S5,S5.LARGE4,4,4,0.45,0.45,0.45,248.4,216.11,2056.75,3666.38,4024.08
广州,广州七区,LINUX,标准型S5,S5.LARGE8,4,8,0.6,0.6,0.6,331.2,288.14,2742.34,4888.51,5365.44
广州,广州七区,LINUX,标准型S5,S5.LARGE16,4,16,0.9,0.9,0.9,496.8,432.22,4113.5,7332.77,8048.16
广州,广州六区,LINUX,标准型S5,S5.2XLARGE8,8,8,0.9,0.9,0.9,496.8,432.22,4113.5,7332.77,8048.16
