地域,可用区,机型,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),标准月价(元),包月(元),包年(元),3年(元),5年(元)
广州,广州六区,标准型S6,1,1,0.05,0.05,0.05,29.7,29.7,295.81,534.6,891
广州,广州六区,标准型S6,1,2,0.06,0.06,0.06,35.1,35.1,349.6,631.8,1053
广州,广州六区,标准型S6,1,4,0.24,0.24,0.24,130.5,130.5,1299.78,2349,3915
广州,广州六区,标准型S6,2,4,0.24,0.24,0.24,132.3,132.3,1317.71,2381.4,3969
广州,广州六区,标准型S6,2,8,0.47,0.47,0.47,261,261,2599.56,4698,7830
广州,广州六区,标准型S6,4,8,0.63,0.63,0.63,348,348,3466.08,6264,10440
广州,广州六区,标准型S6,4,16,0.94,0.94,0.94,522,522,5199.12,9396,15660
广州,广州六区,标准型S6,8,16,1.26,1.26,1.26,696,696,6932.16,12528,20880
广州,广州六区,标准型S6,8,32,1.89,1.89,1.89,1044,1044,10398.24,18792,31320
广州,广州六区,标准型S6,16,32,2.51,2.51,2.51,1392,1392,13864.32,25056,41760
广州,广州六区,标准型S6,16,64,3.77,3.77,3.77,2088,2088,20796.48,37584,62640
广州,广州六区,标准型S6,32,64,5.03,5.03,5.03,2784,2784,27728.64,50112,83520
广州,广州六区,标准型S6,32,128,7.54,7.54,7.54,4176,4176,41592.96,75168,125280
广州,广州六区,标准型S6,48,96,7.54,7.54,7.54,4176,4176,41592.96,75168,125280
广州,广州六区,标准型S6,48,192,11.31,11.31,11.31,6264,6264,62389.44,112752,187920
广州,广州六区,标准型S6,62,216,13.35,13.35,13.35,7395,7395,73654.2,133110,221850
广州,广州六区,标准型S6,64,256,15.08,15.08,15.08,8352,8352,83185.92,150336,250560
广州,广州六区,标准型S6,124,432,26.71,26.71,26.71,14790,14790,147308.4,266220,443700
广州,广州三区,标准型SA2,1,1,0.06,0.06,0.06,29,29,288.84,522,870
广州,广州三区,标准型SA2,1,2,0.06,0.06,0.06,32,32,318.72,576,960
广州,广州三区,标准型SA2,1,4,0.19,0.19,0.19,96,96,956.16,1728,2880
广州,广州三区,标准型SA2,2,4,0.26,0.26,0.26,136,136,1354.56,2448,4080
广州,广州三区,标准型SA2,2,8,0.37,0.37,0.37,192,192,1912.32,3456,5760
广州,广州三区,标准型SA2,4,8,0.5,0.5,0.5,256,256,2549.76,4608,7680
广州,广州三区,标准型SA2,4,16,0.75,0.75,0.75,384,384,3824.64,6912,11520
